2009,勝率,勝,敗,分,試合数,得点,得点平均,失点,失点平均,打率,本塁打,本塁打平均,盗塁,盗塁平均,防御率
ヤクルト,0.532,75,66,2,143,658,4.601398601,665,1.010638298,0.266,135,0.944055944,68,0.475524476,4.13
巨人,0.486,67,71,5,143,625,4.370629371,575,0.92,0.257,152,1.062937063,61,0.426573427,3.79
DeNA,0.475,67,74,2,143,572,4,642,1.122377622,0.25,181,1.265734266,71,0.496503497,4.18
中日,0.447,63,78,2,143,598,4.181818182,654,1.093645485,0.265,97,0.678321678,61,0.426573427,4.36
阪神,0.44,62,79,2,143,577,4.034965035,628,1.088388215,0.253,85,0.594405594,77,0.538461538,4.03
巨人,0.546,77,64,2,143,663,4.636363636,573,0.864253394,0.257,183,1.27972028,83,0.58041958,3.77
DeNA,0.507,71,69,3,143,596,4.167832168,611,1.025167785,0.246,163,1.13986014,40,0.27972028,3.93
阪神,0.504,69,68,6,143,538,3.762237762,566,1.05204461,0.251,94,0.657342657,100,0.699300699,3.46
広島,0.5,70,70,3,143,591,4.132867133,601,1.016920474,0.254,140,0.979020979,81,0.566433566,3.68
中日,0.482,68,73,2,143,563,3.937062937,544,0.96625222,0.263,90,0.629370629,63,0.440559441,3.72
ヤクルト,0.418,59,82,2,143,656,4.587412587,739,1.12652439,0.244,167,1.167832168,62,0.433566434,4.78
